x y z
37.7 638.98 2.18011
37.8 639.196 2.13027
37.9 639.406 2.08047
38 639.612 2.03071
38.1 639.812 1.98099
38.2 640.008 1.9313
38.3 640.199 1.88164
38.4 640.384 1.83202
38.5 640.565 1.78243
38.6 640.741 1.73287
38.7 640.912 1.68334
38.8 641.078 1.63385
38.9 641.238 1.58438
39 641.394 1.53494
39.1 641.545 1.48553
39.2 641.692 1.43615
39.3 641.833 1.38679
39.4 641.969 1.33745
39.5 642.1 1.28814
39.6 642.227 1.23885
39.7 642.348 1.18959
39.8 642.464 1.14034
39.9 642.576 1.09112
40 642.683 1.04191
40.1 642.784 0.992725
40.2 642.881 0.943556
40.3 642.973 0.894403
40.4 643.06 0.845267
40.5 643.142 0.796145
40.6 643.219 0.747038
40.7 643.292 0.697944
40.8 643.359 0.648862
40.9 643.421 0.599791
41 643.479 0.550732
41.1 643.531 0.501682
41.2 643.579 0.452641
41.3 643.622 0.403608
41.4 643.66 0.354582
41.5 643.693 0.305562
41.6 643.721 0.256548
41.7 643.744 0.207538
41.8 643.763 0.158532
41.9 643.776 0.109528
42 643.784 0.0605272
42.1 643.788 0.0115269
42.2 643.787 -0.0374732
42.3 643.781 -0.0864739
42.4 643.769 -0.135476
42.5 643.753 -0.184481
42.6 643.733 -0.233489
42.7 643.707 -0.282501
42.8 643.676 -0.331518
42.9 643.64 -0.380541
43 643.6 -0.42957
43.1 643.555 -0.478608
43.2 643.504 -0.527653
43.3 643.449 -0.576708
43.4 643.389 -0.625774
43.5 643.324 -0.67485
43.6 643.254 -0.723938
43.7 643.179 -0.773039
43.8 643.099 -0.822154
43.9 643.015 -0.871283
44 642.925 -0.920428
44.1 642.831 -0.969589
44.2 642.731 -1.01877
44.3 642.627 -1.06796
44.4 642.518 -1.11718
44.5 642.403 -1.16641
44.6 642.284 -1.21567
44.7 642.16 -1.26495
44.8 642.031 -1.31425
44.9 641.897 -1.36357
45 641.759 -1.41292
45.1 641.615 -1.46229
45.2 641.466 -1.51169
45.3 641.312 -1.56112
45.4 641.154 -1.61057
45.5 640.99 -1.66005
45.6 640.822 -1.70957
45.7 640.648 -1.75911
45.8 640.47 -1.80868
45.9 640.287 -1.85829
46 640.098 -1.90793
46.1 639.905 -1.9576
46.2 639.707 -2.00731
46.3 639.504 -2.05706
46.4 639.295 -2.10684
46.5 639.082 -2.15666
46.6 638.864 -2.20652
46.7 638.641 -2.25642
46.8 638.413 -2.30635
46.9 638.18 -2.35633
47 637.942 -2.40636
47.1 637.698 -2.45642
47.2 637.45 -2.50654
47.3 637.197 -2.55669
47.4 636.939 -2.60689
47.5 636.676 -2.65714
47.6 636.408 -2.70744
47.7 636.134 -2.75779
47.8 635.856 -2.80819
47.9 635.573 -2.85863
48 635.284 -2.90913
48.1 634.991 -2.95969
48.2 634.692 -3.0103
48.3 634.389 -3.06096
48.4 634.08 -3.11168
48.5 633.766 -3.16245
48.6 633.448 -3.21329
48.7 633.124 -3.26418
48.8 632.795 -3.31513
48.9 632.461 -3.36614
49 632.122 -3.41722
49.1 631.777 -3.46836
49.2 631.428 -3.51956
49.3 631.073 -3.57083
49.4 630.714 -3.62216
49.5 630.349 -3.67356
49.6 629.979 -3.72503
49.7 629.604 -3.77657
49.8 629.224 -3.82818
49.9 628.838 -3.87985
50 628.448 -3.93161
50.1 628.052 -3.98343
50.2 627.651 -4.03533
50.3 627.245 -4.08731
50.4 626.834 -4.13936
50.5 626.417 -4.19149
50.6 625.995 -4.2437
50.7 625.568 -4.29599
50.8 625.136 -4.34836
50.9 624.699 -4.40081
51 624.256 -4.45335
51.1 623.808 -4.50597
51.2 623.355 -4.55867
51.3 622.896 -4.61147
51.4 622.432 -4.66435
51.5 621.963 -4.71732
51.6 621.489 -4.77037
51.7 621.009 -4.82353
51.8 620.524 -4.87677
51.9 620.034 -4.93011
52 619.538 -4.98354
52.1 619.037 -5.03707
